,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,9,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0
1,14,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0
2,15,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0
3,16,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
4,18,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
5,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
6,21,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0
7,22,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0
8,23,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0
9,24,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
10,25,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0
11,28,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
12,30,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
13,32,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
14,34,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
15,35,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
16,38,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0
17,39,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0
18,40,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0
19,41,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0
20,43,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0
21,45,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
22,46,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
23,48,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0
24,50,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0
25,51,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0
26,54,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0
27,55,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0
28,56,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0
29,57,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
30,58,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0
31,10,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
32,12,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0
33,13,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
34,17,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0
35,19,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0
36,29,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0
37,31,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0
38,33,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0
39,36,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0
40,37,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0
41,42,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0
42,44,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0
43,47,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0
44,53,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0
45,7,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0
46,11,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0
47,27,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
48,49,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
49,52,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
